Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15T07:22:17.000Z,A4FK,120L,Strada Lăcrămioarelor,8,Sibiu,Romania
SB-25-SOM,2024-10-15T07:22:26.000Z,AJ2FQV,120L,Strada Lăcrămioarelor,10,Sibiu,Romania
SB-25-SOM,2024-10-15T07:22:56.000Z,YJTH,120L,Strada Lăcrămioarelor,14,Sibiu,Romania
SB-25-SOM,2024-10-15T07:23:19.000Z,A4NQ,120L,Strada Lăcrămioarelor,16,Sibiu,Romania
SB-25-SOM,2024-10-15T07:23:36.000Z,A4NQ,120L,Strada Lăcrămioarelor,16,Sibiu,Romania
SB-25-SOM,2024-10-15T07:23:50.000Z,AC4W,120L,Strada Lăcrămioarelor,1,Sibiu,Romania
SB-25-SOM,2024-10-15T07:25:05.000Z,PCNHOZ,120L,Strada Lăcrămioarelor,6,Sibiu,Romania
SB-25-SOM,2024-10-15T07:25:33.000Z,A2DB,120L,Strada Lăcrămioarelor,4,Sibiu,Romania
SB-25-SOM,2024-10-15T07:25:49.000Z,7YUI,120L,Strada Lăcrămioarelor,2,Sibiu,Romania
SB-25-SOM,2024-10-15T07:27:02.000Z,PNDB,120L,Strada Pandurilor,14,Sibiu,Romania
SB-25-SOM,2024-10-15T07:27:03.000Z,O6TE,120L,Strada Pandurilor,13,Sibiu,Romania
SB-25-SOM,2024-10-15T07:27:32.000Z,RQJH,120L,Strada Pandurilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15T07:27:52.000Z,BUAP,120L,Strada Pandurilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15T07:27:54.000Z,IRWG,120L,Strada Pandurilor,10,Sibiu,Romania
SB-25-SOM,2024-10-15T07:29:04.000Z,AD3R,120L,Strada Pandurilor,1,Sibiu,Romania
SB-25-SOM,2024-10-15T07:30:52.000Z,BQ6Y,120L,Strada Țiglarilor,34,Sibiu,Romania
SB-25-SOM,2024-10-15T07:31:59.000Z,MNUD,120L,Strada Țiglarilor,45,Sibiu,Romania
SB-25-SOM,2024-10-15T07:32:00.000Z,VWTU,240L,Strada Țiglarilor,40,Sibiu,Romania
SB-25-SOM,2024-10-15T07:33:02.000Z,YVXSD6,120L,Strada Țiglarilor,51,Sibiu,Romania
SB-25-SOM,2024-10-15T07:33:49.000Z,WFCE,120L,Strada Țiglarilor,44,Sibiu,Romania
SB-25-SOM,2024-10-15T07:34:13.000Z,GZKP,120L,Strada Crizantemelor,2,Sibiu,Romania
