Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15 10:08:07+00:00,UFIX,120L,Strada General Bălan,24,Sibiu,Romania
SB-25-SOM,2024-10-15 10:08:11+00:00,YWXV37,120L,Strada General Bălan,21,Sibiu,Romania
SB-25-SOM,2024-10-15 10:08:30+00:00,LKP3XO,120L,Strada General Bălan,22,Sibiu,Romania
SB-25-SOM,2024-10-15 10:08:32+00:00,QZMA,120L,Strada General Bălan,19,Sibiu,Romania
SB-25-SOM,2024-10-15 10:09:07+00:00,NNJ2KY,120L,Strada General Bălan,18,Sibiu,Romania
SB-25-SOM,2024-10-15 10:09:41+00:00,6BQJ,120L,Strada General Bălan,14,Sibiu,Romania
SB-25-SOM,2024-10-15 10:09:43+00:00,JA5YGO,120L,Strada General Bălan,11,Sibiu,Romania
SB-25-SOM,2024-10-15 10:10:23+00:00,EXNZ,120L,Strada General Bălan,12,Sibiu,Romania
SB-25-SOM,2024-10-15 10:11:23+00:00,OO4C,120L,Strada General Bălan,10,Sibiu,Romania
SB-25-SOM,2024-10-15 10:11:56+00:00,HW34,120L,Strada General Bălan,5,Sibiu,Romania
SB-25-SOM,2024-10-15 10:50:30+00:00,TDAR,120L,Strada Honterus,2,Sibiu,Romania
SB-25-SOM,2024-10-15 10:50:35+00:00,BDI4,120L,Strada Înfrățirii,17,Sibiu,Romania
SB-25-SOM,2024-10-15 10:51:23+00:00,Z3HP,120L,Strada Honterus,7,Sibiu,Romania
SB-25-SOM,2024-10-15 10:51:27+00:00,KY4M,120L,Strada Honterus,6,Sibiu,Romania
SB-25-SOM,2024-10-15 10:52:04+00:00,WAFM,120L,Strada Honterus,12,Sibiu,Romania
SB-25-SOM,2024-10-15 10:52:23+00:00,H7AM,120L,Strada Honterus,13,Sibiu,Romania
SB-25-SOM,2024-10-15 10:52:42+00:00,ZBXZFK,120L,Strada Honterus,26,Sibiu,Romania
SB-25-SOM,2024-10-15 10:54:01+00:00,U4YY,120L,Strada Honterus,38,Sibiu,Romania
SB-25-SOM,2024-10-15 10:54:40+00:00,6QMX,120L,Strada Honterus,33,Sibiu,Romania
SB-25-SOM,2024-10-15 10:54:53+00:00,VJBQ,120L,Strada Honterus,35,Sibiu,Romania
SB-25-SOM,2024-10-15 10:56:30+00:00,MFIU,120L,Strada Democrației,42,Sibiu,Romania
SB-25-SOM,2024-10-15 10:56:46+00:00,BNZ7,120L,Strada Democrației,39,Sibiu,Romania
SB-25-SOM,2024-10-15 10:58:27+00:00,6I6E,120L,Strada Democrației,33,Sibiu,Romania
SB-25-SOM,2024-10-15 10:58:42+00:00,2KZ2,120L,Strada Democrației,32,Sibiu,Romania
SB-25-SOM,2024-10-15 10:58:47+00:00,WIBG,120L,Strada Democrației,29,Sibiu,Romania
SB-25-SOM,2024-10-15 10:59:38+00:00,XSKK,120L,Strada Democrației,28,Sibiu,Romania
SB-25-SOM,2024-10-15 11:00:07+00:00,4DOY,120L,Strada Democrației,24,Sibiu,Romania
SB-25-SOM,2024-10-15 11:00:45+00:00,F3EENW,120L,Strada Democrației,22,Sibiu,Romania
SB-25-SOM,2024-10-15 11:00:47+00:00,6RFTUR,120L,Strada Democrației,19,Sibiu,Romania
SB-25-SOM,2024-10-15 11:01:24+00:00,EJ6F,120L,Strada Democrației,20,Sibiu,Romania
SB-25-SOM,2024-10-15 11:01:28+00:00,DOLS,120L,Strada Democrației,17,Sibiu,Romania
SB-25-SOM,2024-10-15 11:02:33+00:00,ENGP,120L,Strada Democrației,11,Sibiu,Romania
SB-25-SOM,2024-10-15 11:03:01+00:00,YDGZ,120L,Strada Democrației,14,Sibiu,Romania
SB-25-SOM,2024-10-15 11:03:59+00:00,5BEQ,120L,Strada Democrației,12,Sibiu,Romania
SB-25-SOM,2024-10-15 11:05:50+00:00,NCTD,120L,Strada Viorelelor,6,Sibiu,Romania
SB-25-SOM,2024-10-15 11:07:51+00:00,YIHVO4,120L,Strada Viorelelor,5,Sibiu,Romania
SB-25-SOM,2024-10-15 11:08:18+00:00,VZ4J,120L,Strada Viorelelor,14,Sibiu,Romania
SB-25-SOM,2024-10-15 11:08:58+00:00,2BSY,120L,Strada Viorelelor,20,Sibiu,Romania
SB-25-SOM,2024-10-15 11:09:21+00:00,WCGB,120L,Strada Viorelelor,13,Sibiu,Romania
SB-25-SOM,2024-10-15 11:10:18+00:00,ZYCY,120L,Strada Viorelelor,23,Sibiu,Romania
SB-25-SOM,2024-10-15 11:10:33+00:00,CSJJ,120L,Strada Viorelelor,21,Sibiu,Romania
SB-25-SOM,2024-10-15 11:11:31+00:00,ZU3B,120L,Strada Viorelelor,25,Sibiu,Romania
